Row_Field,Col_Field,Family,ID,Larg_Leaf_Len_Bolt,Larg_Leaf_Wid_Bolt,GM_StemHeight_Bolt,GM_Leaf_Number_Bolt,Sampler,Maple_Died
4,3,vrp,513,,,,,Nikita,
4,3,jar,164,,,,,Nikita,
4,3,bwp,6,,,,,Nikita,
4,3,mhb,339,,,,,Nikita,
4,3,cbm,34,,,,,Nikita,
4,3,erc,499,,,,,Nikita,
4,3,mav,i132,,,,,Nikita,
4,3,vrp,516,,,,,Nikita,
4,2,msm,600,,,,,Nikita,
4,2,bsg,545,,,,,Nikita,
4,2,cbm,i108,,,,,Nikita,
4,2,bwp,16,,,,,Nikita,
4,2,vsg,535,15,15,25,3,Nikita,
4,2,jar,166,11,13,67,7,Nikita,
4,2,mhb,355,48,40,110,24,Nikita,
4,2,crs,74,9,12,28,9,Nikita,
4,2,vrp,507,,,,,Nikita,
4,2,jbc,223,20,18,122,13,Nikita,
4,2,bwp,21,15,14,70,8,Nikita,
4,1,cwr,84,,,,,Nikita,
4,1,smi,467,18,18,94,8,Nikita,
4,1,rul,426,17,20,70,14,Nikita,
4,1,dvg,122,,,,,Nikita,
4,1,msm,373,,,,,Nikita,
4,1,pdv,399,,,,,Nikita,
4,1,jwb,263,4,4,20,3,Nikita,
4,1,bwp,4,,,,,Nikita,
4,1,cbm,40,,,,,Nikita,
4,1,pdv,398,,,,,Nikita,
4,1,jar,172,,,,,Nikita,
4,1,cbm,35,10,9,30,5,Nikita,
4,1,mav,i129,,,,,Nikita,
5,2,nsl,i138,,,,,Nikita,
5,2,mhb,342,,,,,Nikita,
5,2,wss,561,,,,,Nikita,
5,2,lge,i124,,,,,Nikita,
5,2,mhb,336,,,,,Nikita,
5,2,sma,439,16,16,77,10,Nikita,
5,2,msm,602,,,,,Nikita,
5,2,msm,379,34,34,90,17,Nikita,
5,2,mavelk,i127,,,,,Nikita,
5,2,jar,183,8,13,36,7,Nikita,
5,2,dvg,102,15,15,74,12,Nikita,
5,2,mhn,359,,,,,Nikita,
5,3,cbm,43,jbb,211,,,Nikita,
5,3,jbb,211,,,,,Nikita,
5,3,wss,571,,,,,Nikita,
5,3,msm,377,,,,,Nikita,
5,3,vrc,489,,,,,Nikita,
5,3,jwb,255,,,,,Nikita,
5,3,jbc,238,5,7,9,1,Nikita,
5,3,wss,576,,,,,Nikita,
5,3,jar,162,,,,,Nikita,
5,3,vec,490,,,,,Nikita,
5,3,dvg,114,10,7,47,11,Nikita,Y
5,3,wss,552,,,,,Nikita,
5,3,bwp,32,,,,,Nikita,
5,3,wss,556,,,,,Nikita,
5,4,wss,555,,,,,Nikita,
5,4,kve,303,,,,,Nikita,
5,4,dvg,126,,,,,Nikita,
5,4,crs,67,,,,,Nikita,
5,4,mhb,345,,,,,Nikita,
5,4,mhn,360,,,,,Nikita,
5,4,dvg,129,,,,,Nikita,
5,4,crs,69,,,,,Nikita,
5,4,mav,318,,,,,Nikita,
5,4,smi,452,,,,,Nikita,
5,5,cvrc,485,,,,,Nikita,
5,5,smi,i158,,,,,Nikita,
5,5,jbchy,?,,,,,Nikita,
5,5,jbb,217,21,13,17,8,Nikita,
5,5,mavelk,i128,,,,,Nikita,
5,5,kve,298,,,,,Nikita,
5,5,smi,48,,,,,Nikita,
5,5,msm,382,20,18,125,7,Nikita,
5,5,mavelk,i125,8,5,12,5,Nikita,
5,5,msm,386,5,5,29,3,Nikita,
5,6,bwp,33,,,,,Nikita,
5,6,bwp,26,,,,,Nikita,
5,6,pdv,413,,,,,Nikita,
5,6,mhn,464,,,,,Nikita,
5,6,jwb,258,19,16,79,8,Nikita,
5,6,wss,568,,,,,Nikita,
5,6,mhb,348,,,,,Nikita,
5,6,wss,558,,,,,Nikita,
5,6,wss,563,,,,,Nikita,
5,6,mhn,363,,,,,Nikita,
