Genotype,GM_Leaf_Number,GM_Leaf_Len,GM_Leaf_Wid,ThripsDam,WhiteFungDam,BlackPathDam
e§JWBOY-2-80§Q§268,leaf-1,length-44,width-37.png,2,0,0
c§SMITH1-20§Q§470,leaf-1,length-36,width-37.png,0,0,0
e§MAVBEL2-1-20§N§330,leaf-1,length-47,width-42.png,0,0,0
d§JBCHY1-1-50§Q§239,leaf-1,length-53,width-51.png,0,0,0
b§CRSOSO-3-40§Q§74,leaf-2,length-54,width-61.png,11,0,0
a§SMITH1-20§Q§455,leaf-2,length-52,width-52.png,0,0,0
c§SMITH1-1-0§Q§i157,leaf-2,length-70,width-70.png,3,0,0
e§JBBLB2-1-20§Q§222,leaf-2,length-48,width-51.png,5,1,17
d§DSGAR1-3-60§V§i120,leaf-2,length-76,width-81.png,7,0,5
c§VRPET2-3-20§Q§521,leaf-1,length-46,width-47.png,0,0,0
a§SEBRN-1-20§N§i145,leaf-2,length-62,width-64.png,1,0,0
a§MAVBEL2-1-20§N§307,leaf-1,length-45,width-47.png,0,0,2
c§KVEDG1-1-80§Q§290,leaf-1,length-61,width-57.png,1,0,0
a§KVEDG1-1-80§Q§276,leaf-1,length-31,width-34.png,6,0,0
b§CRSOSO-3-40§Q§74,leaf-1,length-38,width-32.png,3,0,0
d§MSMID1-1-20§Q§390,leaf-1,length-64,width-78.png,16,0,0
b§MSMID1-1-20§Q§377,leaf-1,length-39,width-34.png,1,0,0
c§VRCAN-1-40§Q§491,leaf-1,length-34,width-36.png,3,0,10
b§MSMID1-1-20§Q§377,leaf-2,length-73,width-80.png,14,0,0
b§CBMCK1-1-0§N§39,leaf-2,length-40,width-36.png,2,0,0
c§MHBUR1-4-20§Q§349,leaf-2,length-72,width-70.png,8,1,2
c§DSGAR1-3-60§V§i119,leaf-1,length-56,width-58.png,0,0,1
c§JBBLB2-1-20§Q§209,leaf-1,length-49,width-50.png,1,1,0
e§RULEB1-20§N§427,leaf-2,length-55,width-59.png,3,1,0
b§JBCHY1-1-50§Q§227,leaf-1,length-36,width-34.png,3,0,0
e§WSSWM3-1-0§Q§572,leaf-1,length-57,width-51.png,2,0,0
b§SMAKC1-B§N§438,leaf-2,length-52,width-48.png,3,0,0
a§SMAKC1-B§N§433,leaf-1,length-49,width-56.png,3,0,2
c§CWRIC2-X2§Q§90,leaf-2,length-40,width-41.png,65,0,0
d§EFCC2-4-80§Q§155,leaf-2,length-75,width-80.png,6,1,8
d§JBBLB2-1-20§Q§213,leaf-1,length-57,width-61.png,3,1,0
d§JWBOY-2-80§Q§261,leaf-1,length-54,width-50.png,1,1,0
b§CRSOSO-3-40§Q§69,leaf-1,length-42,width-48.png,1,0,7
d§JBCHY1-1-50§Q§239,leaf-2,length-60,width-67.png,5,0,0
b§MHNAT1-2-0§Q§357,leaf-2,length-54,width-56.png,3,1,0
b§MAVBEL2-1-20§N§310,leaf-2,length-55,width-56.png,10,0,0
d§CRSOSO-3-40§Q§63,leaf-2,length-72,width-66.png,2,0,3
e§JBBLB2-1-20§Q§218,leaf-1,length-42,width-45.png,0,0,0
c§JARI1-1-80§Q§176,leaf-2,length-46,width-45.png,0,0,0
d§DVGM-20§Q§122,leaf-2,length-54,width-64.png,5,0,0
a§MAVBEL2-1-20§N§309,leaf-1,length-37,width-38.png,0,0,0
c§JBCHY1-1-50§Q§234,leaf-1,length-43,width-43.png,1,0,1
b§JBBLB2-1-20§Q§202,leaf-1,length-44,width-38.png,1,0,0
a§JARI1-1-80§Q§160,leaf-2,length-58,width-50.png,2,0,0
d§JBCHY1-1-50§Q§237,leaf-1,length-36,width-34.png,2,0,0
c§NSLJU1-4-0§V§i141,leaf-1,length-33,width-21.png,0,0,0
d§JWBOY-2-80§Q§262,leaf-1,length-42,width-42.png,0,0,1
c§CBMCK1-1-0§N§43,leaf-2,length-58,width-60.png,3,0,0
a§SMITH1-20§Q§450,leaf-2,length-81,width-84.png,14,0,0
d§VRCAN-1-40§Q§500,leaf-2,length-43,width-35.png,0,0,0
a§NSLJU1-4-0§V§i137,leaf-1,length-65,width-70.png,1,0,1
e§MAVELK-1-20§N§i130,leaf-1,length-50,width-44.png,0,0,0
a§NSLJU1-4-0§V§i138,leaf-1,length-64,width-60.png,0,40,0
c§JBCHY1-1-50§Q§234,leaf-2,length-60,width-45.png,0,0,3
a§SMITH1-20§Q§452,leaf-2,length-63,width-68.png,2,0,4
a§CRSOSO-3-40§Q§58,leaf-1,length-47,width-46.png,9,0,0
b§PDVRT1-20§Q§406,leaf-1,length-67,width-67.png,3,0,0
e§SMAKC1-B§N§446,leaf-1,length-35,width-33.png,0,0,0
b§JBBLB2-1-20§Q§200,leaf-2,length-65,width-63.png,10,0,0
c§WSSWM3-1-0§Q§566,leaf-1,length-57,width-55.png,0,0,1
b§MHBUR1-4-20§Q§353,leaf-2,length-60,width-69.png,12,0,0
c§PDVRT1-20§Q§414,leaf-2,length-57,width-51.png,3,2,0
b§WSSWM3-1-0§Q§569,leaf-1,length-57,width-58.png,0,0,2
b§WSSWM3-1-0§Q§557,leaf-1,length-34,width-27.png,1,0,0
d§MAVELK-1-20§N§i131,leaf-2,length-57,width-63.png,3,0,0
b|WSSWM3-1-0|?|?,leaf-1,length-44,width-26.png,0,0,0
c§DVGM-20§Q§115,leaf-1,length-50,width-45.png,4,1,0
d§DVGM-20§Q§126,leaf-2,length-72,width-74.png,7,0,2
b|CRSOSO-3-40|Q|76,leaf-1,length-45,width-46.png,3,2,1
c§VRCAN-1-40§Q§498,leaf-2,length-66,width-68.png,8,0,0
d§NSLJU1-4-0§V§i142,leaf-3,length-82,width-93.png,3,0,0
b§SMITH1-20§Q§462,leaf-1,length-33,width-30.png,1,0,0
b§CBMCK1-1-0§N§37,leaf-2,length-54,width-51.png,1,0,0
c§JBCHY1-1-50§Q§233,leaf-2,length-65,width-65.png,4,0,1
b§WSSWM3-3-80§V§i161,leaf-1,length-46,width-41.png,1,0,0
a§KVEDG1-1-80§Q§277,leaf-2,length-56,width-65.png,6,0,0
d§VRCAN-1-40§Q§499,leaf-1,length-42,width-44.png,0,1,0
b§SMITH1-20§Q§463,leaf-2,length-44,width-50.png,7,1,1
c§SMITH1-1-0§Q§i157,leaf-1,length-54,width-49.png,0,2,0
c§VRCAN-1-40§Q§496,leaf-1,length-58,width-59.png,5,0,0
c§VRCAN-1-40§Q§498,leaf-1,length-45,width-46.png,1,0,0
b§PDVRT1-20§Q§406,leaf-2,length-73,width-71.png,6,0,15
a§VRPET2-3-20§Q§505,leaf-2,length-47,width-47.png,2,0,1
a§SMITH1-20§Q§48,leaf-2,length-53,width-50.png,4,0,1
e§RULEB1-20§N§427,leaf-1,length-50,width-50.png,3,3,0
d§BWPEM1-9-0§Q§21,leaf-1,length-36,width-27.png,1,0,0
a§CWRIC2-X2§Q§83,leaf-2,length-72,width-68.png,0,0,0
