"","Tag","ChlorA","ChlorB","gluc_Conc","flav_Conc","Family","treatment","gh_row","gh_bench","GM_TotalLeaf_Area","comp_number","ThripsDam","WhiteFungDam","BlackPathDam","Fern","gh_col","GM_Leaf_Area","Latitude","Longitude","Altitude","GM_StemHeight_Bolt","GM_Leaf_Number_Bolt","Larg_Leaf_Len_Bolt","Larg_Leaf_Wid_Bolt","Row_Field","Col_Field","Maple_Died","Maple_TotalLeafArea_End","GM_Fecundity","MapleFinalMass","RGR1","NumberOfSamples","maple_height_0","maple_leaf_length_0","maple_leaves_0","Maple_StemHeight_End","Maple_LeafNum_End","MapleDamage","GreenhouseSurvival","WhiteFungLogis","Bolt_Survival","Maple_SurvivalY2","Maple_SurvivalY1","GM_Fecundity2","PCCG_1","PCCG_2","PC1BoltSize","GM_FecundityMS","PCCG_1_T","PCCG_2_T","GM_Fecundity2MS"
"42","a|KVEDG1-1-80|Q|275",-0.927353636373519,0.170320505,NA,NA,"KVEDG1","a",17,4,6598,NA,0,1.5,0,0,6,3299,39.435278,-76.288333,2,134,23,38,39,7,6,"",NA,2.05,NA,6.3534118887971e-07,2,NA,NA,NA,NA,NA,NA,1,"1",1,NA,NA,2.1,NA,NA,3.88947008832431,1.00109329446064,NA,NA,3.60832443970117
"43","a|KVEDG1-1-80|Q|276",-0.693420910341801,0.1422270175,-1.31533812449942,-1.77979310790757,"KVEDG1","a",1,2,10305,NA,1.86883480914168,0,0.346573590279973,0,3,2976.5,39.435278,-76.288333,2,NA,NA,NA,NA,1,5,"",NA,NA,NA,4.56923995059317e-07,2,NA,NA,NA,NA,NA,NA,1,"0",0,NA,NA,0,1.6570418683834,0.114268895964524,NA,NA,-2.26318580578971,1.65177273452713,0
"44","a|KVEDG1-1-80|Q|277",-1.57867325334103,0.0884503450000001,-1.9912196997029,-2.25691166742741,"KVEDG1","m",1,4,8444,NA,0.972955074527657,0,0,0,6,3962,39.435278,-76.288333,2,NA,NA,NA,NA,6,5,"",1264,NA,NA,5.26136042782196e-07,2,62,24,2,70,2,1,1,"0",0,0,1,0,-1.44042217678873,-0.0900407582014584,NA,NA,-5.36064985096184,1.44746308036114,0
"45","a|MAVBEL2-1-20|N|304",-1.02681101121196,0.13875179,-1.97691733739827,-2.52701669631031,"MAVBEL2","gm",9,3,3690,38,0.346573590279973,0,0,0,5,1845,41.170384,-95.902909,358,NA,NA,NA,NA,3,2,"",NA,NA,NA,4.72474845612478e-07,2,NA,NA,NA,NA,NA,NA,1,"0",0,NA,NA,0,-0.483763548318863,-0.957997047092356,NA,NA,-4.40399122249197,0.579506791470245,0
"46","a|MAVBEL2-1-20|N|305",-1.52544410328913,0.10909749,-1.7970890550616,-1.93261222365296,"MAVBEL2","m",7,3,10584,NA,0.346573590279973,0,0,0,2,3739,41.170384,-95.902909,358,NA,NA,NA,NA,1,6,"",4371,NA,0.69,7.51888526556778e-07,2,77,36,2,87,6,0.333333333333333,1,"0",0,1,1,0,-0.886781041060902,0.297570906022686,NA,NA,-4.80700871523401,1.83507474458529,0
"47","a|MAVBEL2-1-20|N|306",-0.995280875472993,0.18919089,-1.5250624923801,-2.17217765856581,"MAVBEL2","a",7,1,11211,NA,1.6661022550876,0,0,0,5,3745.5,41.170384,-95.902909,358,NA,NA,NA,NA,2,4,"",NA,NA,NA,1.38360219564472e-06,2,NA,NA,NA,NA,NA,NA,1,"0",0,NA,NA,0,0.650495213997936,0.0953236515660216,NA,NA,-3.26973246017517,1.63282749012862,0
"48","a|MAVBEL2-1-20|N|307",-1.11408566456984,0.0635386675,-1.95519042073925,-2.59037853529906,"MAVBEL2","gm",6,3,5415,39,0.346573590279973,0,1.35402510055111,0,5,2707.5,41.170384,-95.902909,358,NA,NA,NA,NA,1,6,"",NA,NA,NA,4.06716954611057e-07,2,NA,NA,NA,NA,NA,NA,1,"0",0,NA,NA,0,-0.577635641371288,-0.762074355583036,NA,NA,-4.4978633155444,0.775429482979565,0
"49","a|MAVBEL2-1-20|N|308",-1.21617124616457,0.151483865,-1.97671076757848,-2.80136329803216,"MAVBEL2","a",1,1,14121,NA,0.346573590279973,0,0,0,5,4700.5,41.170384,-95.902909,358,NA,NA,NA,NA,1,5,"",NA,NA,NA,1.13146437469748e-06,2,NA,NA,NA,NA,NA,NA,1,"0",0,NA,NA,0,-0.799780223657872,-0.647670154672501,NA,NA,-4.72000789783098,0.8898336838901,0
"50","a|MAVBEL2-1-20|N|309",-1.04878816069269,0.1089888475,NA,NA,"MAVBEL2","gm",3,2,3967,32,1.19894763639919,0,0,2.56494935746154,5,1784,41.170384,-95.902909,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65932532909025e-07,2,NA,NA,NA,NA,NA,NA,1,"0",0,NA,NA,0,NA,NA,NA,NA,NA,NA,0
"51","a|MHBUR1-4-20|Q|334",-1.04861261339508,0.159527125,-1.57063675497431,-1.96153792310009,"MHBUR1","gm",17,4,3456,67,2.30258509299405,0,1.38629436111989,0,3,1152,41.9675,-71.7069,128,NA,NA,NA,NA,6,6,"",NA,NA,NA,5.12860749751317e-07,1,NA,NA,NA,NA,NA,NA,1,"0",0,NA,NA,0,0.452266219191012,0.0711408391590794,NA,NA,-3.4679614549821,1.60864467772168,0
"52","a|MHBUR1-4-20|Q|337",-1.15171581277494,0.1195819175,-1.83578876890935,-2.30494540312843,"MHBUR1","m",17,1,7710,NA,1.6661022550876,0,0.895879734614027,0,5,3705,41.9675,-71.7069,128,NA,NA,NA,NA,9,3,"",8418,NA,1.23,1.18983137029726e-06,2,103,56,2,119,4,1,1,"0",0,1,1,0,-0.35473450050936,-0.408536073921728,NA,NA,-4.27496217468247,1.12896776464087,0
"53","a|MHBUR1-4-20|Q|338",-1.08916370716938,0.1597598425,-1.54451359991553,-2.11277072955073,"MHBUR1","m",9,1,10237,NA,1.09861228866811,0,0,0,1,2415,41.9675,-71.7069,128,NA,NA,NA,NA,3,1,"",5432,NA,0.63,1.31823584742297e-06,2,76,23,2,75,6,0.333333333333333,1,"0",0,1,1,0,0.447014250740676,0.201366778469851,NA,NA,-3.47321342343243,1.73887061703245,0
